	level_0	index	id	top	position	iterration_update	ecart_position_avec_precedent	acceleration	distraite	fatigue	cyclique	regulier
0	0	0	0	[168747, 168748, 168749, 168750, 168751, 168752, 168753, 168754, 168755, 168756, 168757, 168758, 168759, 168760, 168761, 168762, 168763, 168764, 168765, 168766, 168767, 168768, 168769, 168770, 168771, 168772, 168773, 168774, 168775, 168776, 168777, 168778, 168779, 168780, 168781, 168782, 168783, 168785, 168786]	[30435897, 30435992, 30436014, 30436231, 30436544, 30436683, 30436883, 30437252, 30437276, 30437605, 30437773, 30437881, 30437976, 30437998, 30438215, 30438528, 30438667, 30438867, 30439236, 30439260, 30439589, 30439757, 30439865, 30439960, 30439982, 30440199, 30440512, 30440651, 30440851, 30441220, 30441244, 30441573, 30441741, 30441849, 30441944, 30441966, 30442183, 30442635, 30442835]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[108.0, 95.0, 22.0, 217.0, 313.0, 139.0, 200.0, 369.0, 24.0, 329.0, 168.0, 108.0, 95.0, 22.0, 217.0, 313.0, 139.0, 200.0, 369.0, 24.0, 329.0, 168.0, 108.0, 95.0, 22.0, 217.0, 313.0, 139.0, 200.0, 369.0, 24.0, 329.0, 168.0, 108.0, 95.0, 22.0, 217.0, 452.0, 200.0]	[-13.0, -73.0, 195.0, 96.0, -174.0, 61.0, 169.0, -345.0, 305.0, -161.0, -60.0, -13.0, -73.0, 195.0, 96.0, -174.0, 61.0, 169.0, -345.0, 305.0, -161.0, -60.0, -13.0, -73.0, 195.0, 96.0, -174.0, 61.0, 169.0, -345.0, 305.0, -161.0, -60.0, -13.0, -73.0, 195.0, 235.0, -252.0]	False	False	(True, [108.0, 95.0, 22.0, 217.0, 313.0, 139.0, 200.0, 369.0, 24.0, 329.0, 168.0])	False
1	1	1	1	[168747, 168748, 168749, 168750, 168751, 168752, 168753, 168754, 168755, 168756, 168757, 168758, 168759, 168760, 168761, 168762, 168763, 168764, 168765, 168766, 168767, 168768, 168769, 168770, 168771, 168772, 168773, 168774, 168775, 168776, 168777, 168778, 168779, 168780, 168781, 168782, 168783, 168785, 168786]	[61676113, 61676479, 61676848, 61677211, 61677580, 61677942, 61678309, 61678675, 61679039, 61679406, 61679772, 61680141, 61680504, 61680870, 61681239, 61681607, 61681971, 61682336, 61682698, 61683062, 61683430, 61683799, 61684162, 61684527, 61684893, 61685260, 61685627, 61685989, 61686356, 61686720, 61687088, 61687455, 61687820, 61688187, 61688550, 61688916, 61689282, 61690010, 61690373]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[369.0, 366.0, 369.0, 363.0, 369.0, 362.0, 367.0, 366.0, 364.0, 367.0, 366.0, 369.0, 363.0, 366.0, 369.0, 368.0, 364.0, 365.0, 362.0, 364.0, 368.0, 369.0, 363.0, 365.0, 366.0, 367.0, 367.0, 362.0, 367.0, 364.0, 368.0, 367.0, 365.0, 367.0, 363.0, 366.0, 366.0, 728.0, 363.0]	[-3.0, 3.0, -6.0, 6.0, -7.0, 5.0, -1.0, -2.0, 3.0, -1.0, 3.0, -6.0, 3.0, 3.0, -1.0, -4.0, 1.0, -3.0, 2.0, 4.0, 1.0, -6.0, 2.0, 1.0, 1.0, 0.0, -5.0, 5.0, -3.0, 4.0, -1.0, -2.0, 2.0, -4.0, 3.0, 0.0, 362.0, -365.0]	(True, nan, nan)	False	False	False
2	2	2	2	[168747, 168748, 168749, 168750, 168751, 168752, 168753, 168754, 168755, 168756, 168757, 168758, 168759, 168760, 168761, 168762, 168763, 168764, 168765, 168766, 168767, 168768, 168769, 168770, 168771, 168772, 168773, 168774, 168775, 168776, 168777, 168778, 168779, 168780, 168781, 168782, 168783, 168785, 168786]	[34018658, 34018683, 34018888, 34019169, 34019298, 34019352, 34019489, 34019497, 34019836, 34020134, 34020456, 34020657, 34020918, 34021044, 34021136, 34021259, 34021304, 34021425, 34021629, 34022017, 34022337, 34022574, 34022706, 34022849, 34022956, 34023273, 34023377, 34023420, 34023686, 34023888, 34024234, 34024481, 34024668, 34024974, 34025250, 34025421, 34025601, 34025878, 34026206]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[139.0, 25.0, 205.0, 281.0, 129.0, 54.0, 137.0, 8.0, 339.0, 298.0, 322.0, 201.0, 261.0, 126.0, 92.0, 123.0, 45.0, 121.0, 204.0, 388.0, 320.0, 237.0, 132.0, 143.0, 107.0, 317.0, 104.0, 43.0, 266.0, 202.0, 346.0, 247.0, 187.0, 306.0, 276.0, 171.0, 180.0, 277.0, 328.0]	[-114.0, 180.0, 76.0, -152.0, -75.0, 83.0, -129.0, 331.0, -41.0, 24.0, -121.0, 60.0, -135.0, -34.0, 31.0, -78.0, 76.0, 83.0, 184.0, -68.0, -83.0, -105.0, 11.0, -36.0, 210.0, -213.0, -61.0, 223.0, -64.0, 144.0, -99.0, -60.0, 119.0, -30.0, -105.0, 9.0, 97.0, 51.0]	(True, nan, nan)	False	False	False
3	3	3	3	[168747, 168748, 168749, 168750, 168751, 168752, 168753, 168754, 168755, 168756, 168757, 168758, 168759, 168760, 168761, 168762, 168763, 168764, 168765, 168766, 168767, 168768, 168769, 168770, 168771, 168772, 168773, 168774, 168775, 168776, 168777, 168778, 168779, 168780, 168781, 168782, 168783, 168785, 168786]	[32613217, 32613348, 32613480, 32613750, 32614034, 32614214, 32614600, 32614771, 32614907, 32614920, 32615128, 32615450, 32615771, 32616077, 32616130, 32616465, 32616707, 32616885, 32617280, 32617547, 32617823, 32617855, 32618168, 32618325, 32618428, 32618496, 32618607, 32618857, 32619165, 32619375, 32619493, 32619504, 32619535, 32619688, 32619932, 32620069, 32620155, 32620765, 32620925]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[44.0, 131.0, 132.0, 270.0, 284.0, 180.0, 386.0, 171.0, 136.0, 13.0, 208.0, 322.0, 321.0, 306.0, 53.0, 335.0, 242.0, 178.0, 395.0, 267.0, 276.0, 32.0, 313.0, 157.0, 103.0, 68.0, 111.0, 250.0, 308.0, 210.0, 118.0, 11.0, 31.0, 153.0, 244.0, 137.0, 86.0, 610.0, 160.0]	[87.0, 1.0, 138.0, 14.0, -104.0, 206.0, -215.0, -35.0, -123.0, 195.0, 114.0, -1.0, -15.0, -253.0, 282.0, -93.0, -64.0, 217.0, -128.0, 9.0, -244.0, 281.0, -156.0, -54.0, -35.0, 43.0, 139.0, 58.0, -98.0, -92.0, -107.0, 20.0, 122.0, 91.0, -107.0, -51.0, 524.0, -450.0]	(True, nan, nan)	False	False	False
4	4	4	4	[168747, 168748, 168749, 168750, 168751, 168752, 168753, 168754, 168755, 168756, 168757, 168758, 168759, 168760, 168761, 168762, 168763, 168764, 168765, 168766, 168767, 168768, 168769, 168770, 168771, 168772, 168773, 168774, 168775, 168776, 168777, 168778, 168779, 168780, 168781, 168782, 168783, 168785, 168786]	[31419543, 31419692, 31419815, 31420030, 31420139, 31420319, 31420471, 31420624, 31420771, 31420949, 31421167, 31421329, 31421555, 31421677, 31421879, 31421993, 31422191, 31422320, 31422556, 31422807, 31423063, 31423297, 31423464, 31423671, 31423922, 31424100, 31424273, 31424513, 31424628, 31424867, 31425014, 31425239, 31425466, 31425708, 31425864, 31426081, 31426223, 31426652, 31426863]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[162.0, 149.0, 123.0, 215.0, 109.0, 180.0, 152.0, 153.0, 147.0, 178.0, 218.0, 162.0, 226.0, 122.0, 202.0, 114.0, 198.0, 129.0, 236.0, 251.0, 256.0, 234.0, 167.0, 207.0, 251.0, 178.0, 173.0, 240.0, 115.0, 239.0, 147.0, 225.0, 227.0, 242.0, 156.0, 217.0, 142.0, 429.0, 211.0]	[-13.0, -26.0, 92.0, -106.0, 71.0, -28.0, 1.0, -6.0, 31.0, 40.0, -56.0, 64.0, -104.0, 80.0, -88.0, 84.0, -69.0, 107.0, 15.0, 5.0, -22.0, -67.0, 40.0, 44.0, -73.0, -5.0, 67.0, -125.0, 124.0, -92.0, 78.0, 2.0, 15.0, -86.0, 61.0, -75.0, 287.0, -218.0]	(True, nan, nan)	False	False	False
5	5	5	5	[168747, 168748, 168749, 168750, 168751, 168752, 168753, 168754, 168755, 168756, 168757, 168758, 168759, 168760, 168761, 168762, 168763, 168764, 168765, 168766, 168767, 168768, 168769, 168770, 168771, 168772, 168773, 168774, 168775, 168776, 168777, 168778, 168779, 168780, 168781, 168782, 168783, 168785, 168786]	[22612428, 22612624, 22612796, 22612944, 22613068, 22613168, 22613244, 22613296, 22613324, 22613328, 22613328, 22613352, 22613400, 22613472, 22613568, 22613688, 22613832, 22614000, 22614192, 22614408, 22614648, 22614912, 22615180, 22615424, 22615644, 22615840, 22616012, 22616160, 22616284, 22616384, 22616460, 22616512, 22616540, 22616544, 22616544, 22616568, 22616616, 22616784, 22616904]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[220.0, 196.0, 172.0, 148.0, 124.0, 100.0, 76.0, 52.0, 28.0, 4.0, 0.0, 24.0, 48.0, 72.0, 96.0, 120.0, 144.0, 168.0, 192.0, 216.0, 240.0, 264.0, 268.0, 244.0, 220.0, 196.0, 172.0, 148.0, 124.0, 100.0, 76.0, 52.0, 28.0, 4.0, 0.0, 24.0, 48.0, 168.0, 120.0]	[-24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -4.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 24.0, 4.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -4.0, 24.0, 24.0, 120.0, -48.0]	False	(True, array(220.))	False	False
6	6	6	6	[168747, 168748, 168749, 168750, 168751, 168752, 168753, 168754, 168755, 168756, 168757, 168758, 168759, 168760, 168761, 168762, 168763, 168764, 168765, 168766, 168767, 168768, 168769, 168770, 168771, 168772, 168773, 168774, 168775, 168776, 168777, 168778, 168779, 168780, 168781, 168782, 168783, 168785, 168786]	[58217715, 58218060, 58218405, 58218750, 58219095, 58219440, 58219785, 58220130, 58220475, 58220820, 58221165, 58221510, 58221855, 58222200, 58222545, 58222890, 58223235, 58223580, 58223925, 58224270, 58224615, 58224960, 58225305, 58225650, 58225995, 58226340, 58226685, 58227030, 58227375, 58227720, 58228065, 58228410, 58228755, 58229100, 58229445, 58229790, 58230135, 58230825, 58231170]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 345.0, 690.0, 345.0]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 345.0, -345.0]	False	False	False	(True, 345.0)
7	7	7	7	[168747, 168748, 168749, 168750, 168751, 168752, 168753, 168754, 168755, 168756, 168757, 168758, 168759, 168760, 168761, 168762, 168763, 168764, 168765, 168766, 168767, 168768, 168769, 168770, 168771, 168772, 168773, 168774, 168775, 168776, 168777, 168778, 168779, 168780, 168781, 168782, 168783, 168785, 168786]	[32785949, 32786119, 32786145, 32786326, 32786466, 32786618, 32786748, 32786823, 32787078, 32787324, 32787462, 32787801, 32788051, 32788284, 32788398, 32788411, 32788726, 32789066, 32789286, 32789668, 32789756, 32789867, 32790042, 32790263, 32790588, 32790823, 32790861, 32790951, 32790961, 32790964, 32791082, 32791267, 32791507, 32791883, 32791978, 32792299, 32792460, 32792881, 32792975]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[103.0, 170.0, 26.0, 181.0, 140.0, 152.0, 130.0, 75.0, 255.0, 246.0, 138.0, 339.0, 250.0, 233.0, 114.0, 13.0, 315.0, 340.0, 220.0, 382.0, 88.0, 111.0, 175.0, 221.0, 325.0, 235.0, 38.0, 90.0, 10.0, 3.0, 118.0, 185.0, 240.0, 376.0, 95.0, 321.0, 161.0, 421.0, 94.0]	[67.0, -144.0, 155.0, -41.0, 12.0, -22.0, -55.0, 180.0, -9.0, -108.0, 201.0, -89.0, -17.0, -119.0, -101.0, 302.0, 25.0, -120.0, 162.0, -294.0, 23.0, 64.0, 46.0, 104.0, -90.0, -197.0, 52.0, -80.0, -7.0, 115.0, 67.0, 55.0, 136.0, -281.0, 226.0, -160.0, 260.0, -327.0]	(True, nan, nan)	False	False	False
8	8	8	8	[168747, 168748, 168749, 168750, 168751, 168752, 168753, 168754, 168755, 168756, 168757, 168758, 168759, 168760, 168761, 168762, 168763, 168764, 168765, 168766, 168767, 168768, 168769, 168770, 168771, 168772, 168773, 168774, 168775, 168776, 168777, 168778, 168779, 168780, 168781, 168782, 168783, 168785, 168786]	[17702786, 17702821, 17702875, 17702988, 17703102, 17703139, 17703276, 17703314, 17703395, 17703505, 17703568, 17703675, 17703847, 17703922, 17704057, 17704194, 17704273, 17704420, 17704532, 17704595, 17704654, 17704819, 17704891, 17704956, 17705044, 17705109, 17705153, 17705312, 17705418, 17705538, 17705615, 17705759, 17705853, 17705902, 17706066, 17706123, 17706175, 17706397, 17706521]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[64.0, 35.0, 54.0, 113.0, 114.0, 37.0, 137.0, 38.0, 81.0, 110.0, 63.0, 107.0, 172.0, 75.0, 135.0, 137.0, 79.0, 147.0, 112.0, 63.0, 59.0, 165.0, 72.0, 65.0, 88.0, 65.0, 44.0, 159.0, 106.0, 120.0, 77.0, 144.0, 94.0, 49.0, 164.0, 57.0, 52.0, 222.0, 124.0]	[-29.0, 19.0, 59.0, 1.0, -77.0, 100.0, -99.0, 43.0, 29.0, -47.0, 44.0, 65.0, -97.0, 60.0, 2.0, -58.0, 68.0, -35.0, -49.0, -4.0, 106.0, -93.0, -7.0, 23.0, -23.0, -21.0, 115.0, -53.0, 14.0, -43.0, 67.0, -50.0, -45.0, 115.0, -107.0, -5.0, 170.0, -98.0]	(True, nan, nan)	False	False	False
9	9	9	9	[168747, 168748, 168749, 168750, 168751, 168752, 168753, 168754, 168755, 168756, 168757, 168758, 168759, 168760, 168761, 168762, 168763, 168764, 168765, 168766, 168767, 168768, 168769, 168770, 168771, 168772, 168773, 168774, 168775, 168776, 168777, 168778, 168779, 168780, 168781, 168782, 168783, 168785, 168786]	[30253597, 30253836, 30254113, 30254370, 30254512, 30254728, 30254923, 30255205, 30255376, 30255648, 30255835, 30255984, 30256188, 30256300, 30256397, 30256558, 30256687, 30256973, 30257152, 30257289, 30257534, 30257810, 30258084, 30258173, 30258419, 30258712, 30258901, 30259145, 30259267, 30259363, 30259527, 30259594, 30259713, 30259902, 30260101, 30260373, 30260643, 30261176, 30261256]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[102.0, 239.0, 277.0, 257.0, 142.0, 216.0, 195.0, 282.0, 171.0, 272.0, 187.0, 149.0, 204.0, 112.0, 97.0, 161.0, 129.0, 286.0, 179.0, 137.0, 245.0, 276.0, 274.0, 89.0, 246.0, 293.0, 189.0, 244.0, 122.0, 96.0, 164.0, 67.0, 119.0, 189.0, 199.0, 272.0, 270.0, 533.0, 80.0]	[137.0, 38.0, -20.0, -115.0, 74.0, -21.0, 87.0, -111.0, 101.0, -85.0, -38.0, 55.0, -92.0, -15.0, 64.0, -32.0, 157.0, -107.0, -42.0, 108.0, 31.0, -2.0, -185.0, 157.0, 47.0, -104.0, 55.0, -122.0, -26.0, 68.0, -97.0, 52.0, 70.0, 10.0, 73.0, -2.0, 263.0, -453.0]	(True, nan, nan)	False	False	False
